Operation,Status,Category,Cost Formula,Active Weight,Empirical Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
exp,benchmarked,Pointwise Unary,numel(output),16.0000,22.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise e^x.,,22.30,0.6258,25.5673,0.0222,"np.exp(x, out=_out)","x: (10000000,)","[2214116711, 2230009638, 2307666327]",122532583,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L245,moderate,10
exp2,benchmarked,Pointwise Unary,numel(output),16.0000,15.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise 2^x.,,15.30,0.5741,27.8697,0.0060,"np.exp2(x, out=_out)","x: (10000000,)","[1514116711, 1530009638, 1530009597]",112398740,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L313,moderate,10
expm1,benchmarked,Pointwise Unary,numel(output),16.0000,41.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise e^x - 1 (accurate near zero).,,41.30,0.7730,20.6986,0.0040,"np.expm1(x, out=_out)","x: (10000000,)","[4114116711, 4130009638, 4146810477]",151351549,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L314,moderate,10
log,benchmarked,Pointwise Unary,numel(output),16.0000,31.3410,,"16,000 FLOPs (1000 elements)",high,Element-wise natural logarithm.,,31.64,3.4792,4.5988,0.0081,"np.log(x, out=_out)","x: (10000000,)","[3164111511, 3130009638, 3180037447]",681220433,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L246,moderate,10
log2,benchmarked,Pointwise Unary,numel(output),16.0000,34.8410,,"16,000 FLOPs (1000 elements)",high,Element-wise base-2 logarithm.,,35.14,3.7852,4.2270,0.0154,"np.log2(x, out=_out)","x: (10000000,)","[3514106091, 3430009638, 3530065077]",741132137,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L247,moderate,10
log10,benchmarked,Pointwise Unary,numel(output),16.0000,35.3410,,"16,000 FLOPs (1000 elements)",high,Element-wise base-10 logarithm.,,35.64,3.3505,4.7754,0.0072,"np.log10(x, out=_out)","x: (10000000,)","[3564111511, 3530009638, 3580037447]",656022193,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L248,moderate,10
log1p,benchmarked,Pointwise Unary,numel(output),16.0000,41.1581,,"16,000 FLOPs (1000 elements)",high,Element-wise log(1+x) (accurate near zero).,,41.46,2.6303,6.0830,0.0129,"np.log1p(x, out=_out)","x: (10000000,)","[4145821771, 4130009638, 4229965257]",515013600,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L327,moderate,10
cbrt,benchmarked,Pointwise Unary,numel(output),16.0000,38.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise cube root.,,38.30,0.6549,24.4312,0.0024,"np.cbrt(x, out=_out)","x: (10000000,)","[3814116711, 3830009638, 3830009597]",128224189,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L307,moderate,10
sin,benchmarked,Pointwise Unary,numel(output),16.0000,39.8606,,"16,000 FLOPs (1000 elements)",high,Element-wise sine.,,40.16,8.7998,1.8182,0.0054,"np.sin(x, out=_out)","x: (10000000,)","[4015606037, 4016070578, 4053542187]",1722977555,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L253,moderate,10
cos,benchmarked,Pointwise Unary,numel(output),16.0000,39.9073,,"16,000 FLOPs (1000 elements)",high,Element-wise cosine.,,40.21,8.9970,1.7784,0.0048,"np.cos(x, out=_out)","x: (10000000,)","[4020308387, 4020737758, 4054117597]",1761590785,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L254,moderate,10
tan,benchmarked,Pointwise Unary,numel(output),16.0000,60.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise tangent.,,60.30,0.7671,20.8578,0.0015,"np.tan(x, out=_out)","x: (10000000,)","[6014116711, 6030009638, 6030009597]",150203772,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L379,moderate,10
arcsin,benchmarked,Pointwise Unary,numel(output),16.0000,55.9901,,"16,000 FLOPs (1000 elements)",high,Element-wise inverse sine.,,56.29,4.4035,3.6335,0.0086,"np.arcsin(x, out=_out)","x: (10000000,)","[5545820361, 5629018068, 5629909417]",862199483,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L270,moderate,10
arccos,benchmarked,Pointwise Unary,numel(output),16.0000,52.9901,,"16,000 FLOPs (1000 elements)",high,Element-wise inverse cosine.,,53.29,4.6868,3.4138,0.0091,"np.arccos(x, out=_out)","x: (10000000,)","[5245820361, 5329018068, 5329909417]",917672711,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L268,moderate,10
arctan,benchmarked,Pointwise Unary,numel(output),16.0000,47.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise inverse tangent.,,47.30,0.7029,22.7628,0.0019,"np.arctan(x, out=_out)","x: (10000000,)","[4714116711, 4730009638, 4730009597]",137625923,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L272,moderate,10
sinh,benchmarked,Pointwise Unary,numel(output),16.0000,33.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise hyperbolic sine.,,33.30,0.7247,22.0781,0.0218,"np.sinh(x, out=_out)","x: (10000000,)","[3314116711, 3330009638, 3448425607]",141888350,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L365,moderate,10
cosh,benchmarked,Pointwise Unary,numel(output),16.0000,28.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise hyperbolic cosine.,,28.30,0.6961,22.9852,0.0092,"np.cosh(x, out=_out)","x: (10000000,)","[2814116711, 2830009638, 2865053307]",136304057,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L310,moderate,10
tanh,benchmarked,Pointwise Unary,numel(output),16.0000,33.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise hyperbolic tangent.,,33.30,0.7493,21.3533,0.0028,"np.tanh(x, out=_out)","x: (10000000,)","[3314116711, 3330009638, 3330009597]",146717613,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L255,moderate,10
arcsinh,benchmarked,Pointwise Unary,numel(output),16.0000,79.0000,,"16,000 FLOPs (1000 elements)",high,Element-wise inverse hyperbolic sine.,,79.30,1.1621,13.7682,0.0012,"np.arcsinh(x, out=_out)","x: (10000000,)","[7914116711, 7930009638, 7930009597]",227543623,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L271,moderate,10
arccosh,benchmarked,Pointwise Unary,numel(output),16.0000,82.5008,,"16,000 FLOPs (1000 elements)",high,Element-wise inverse hyperbolic cosine.,,82.80,2.6758,5.9795,0.0042,"np.arccosh(x, out=_out)","x: (10000000,)","[8298265921, 8231001648, 8280087937]",523920995,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L269,moderate,10
arctanh,benchmarked,Pointwise Unary,numel(output),16.0000,71.9901,,"16,000 FLOPs (1000 elements)",high,Element-wise inverse hyperbolic tangent.,,72.29,2.2801,7.0172,0.0067,"np.arctanh(x, out=_out)","x: (10000000,)","[7145820361, 7229018068, 7229909417]",446438686,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L273,moderate,10
sinc,benchmarked,Pointwise Unary,numel(output),16.0000,41.1250,,"16,000 FLOPs (1000 elements)",high,"Re-benchmarked on c6i.metal with correct input. α_raw=41.4251, overhead=0.3001, weight=41.1250",,41.43,0.0000,N/A,0.0000,"np.sinc(x, out=_out)","x: (10000000,)","[14117551, 30010478, 30010437]",,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L364,moderate,10
i0,benchmarked,Pointwise Unary,numel(output),16.0000,111.3745,,"16,000 FLOPs (1000 elements)",high,"Re-benchmarked on c6i.metal with correct input. α_raw=111.6746, overhead=0.3001, weight=111.3745",,111.67,0.0000,N/A,0.0000,"np.i0(x, out=_out)","x: (10000000,)","[14117551, 30010478, 30010437]",,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L317,moderate,10
abs,benchmarked,Pointwise Unary,numel(output),1.0000,0.8690,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.8690,,0.30,0.5277,1.8950,0.0035,"np.abs(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",103316422,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L249,baseline,10
negative,benchmarked,Pointwise Unary,numel(output),1.0000,0.8447,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.8447,,0.30,0.5290,1.8904,0.0048,"np.negative(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",103586777,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L250,baseline,10
positive,benchmarked,Pointwise Unary,numel(output),1.0000,0.9146,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to this op). Ratio vs add=0.9146,,0.30,0.5325,1.8779,0.0038,"np.positive(x, out=_out)","x: (10000000,)","[14116711, 30009638, 30009597]",104261270,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L330,baseline,10
