Operation                           Module          Category                      Weight  Notes
----------------------------------------------------------------------------------------------------------------------------------
abs                                 numpy           counted_unary                 0.3837  Element-wise absolute value; alias for absolute.
absolute                            numpy           counted_unary                      —  Element-wise absolute value.
acos                                numpy           counted_unary                      —  Alias for arccos (NumPy 2.x).
acosh                               numpy           counted_unary                      —  Alias for arccosh (NumPy 2.x).
add                                 numpy           counted_binary                1.4067  Element-wise addition.
all                                 numpy           counted_reduction             0.3837  Test whether all array elements are true.
allclose                            numpy           counted_custom                     —  Element-wise tolerance check; cost = numel(a).
amax                                numpy           counted_reduction                  —  Maximum value of array (alias for max/numpy.amax).
amin                                numpy           counted_reduction                  —  Minimum value of array (alias for min/numpy.amin).
angle                               numpy           counted_unary                      —  Return angle of complex argument element-wise.
any                                 numpy           counted_reduction             0.3837  Test whether any array element is true.
append                              numpy           free                               —  Append values to end of array.
apply_along_axis                    numpy           blacklisted                        —  Apply function along axis. Not supported.
apply_over_axes                     numpy           blacklisted                        —  Apply function over multiple axes. Not supported.
arange                              numpy           free                               —  Return evenly spaced values in given interval.
arccos                              numpy           counted_unary                34.2633  Element-wise inverse cosine.
arccosh                             numpy           counted_unary                53.1311  Element-wise inverse hyperbolic cosine.
arcsin                              numpy           counted_unary                36.1813  Element-wise inverse sine.
arcsinh                             numpy           counted_unary                50.8929  Element-wise inverse hyperbolic sine.
arctan                              numpy           counted_unary                30.4335  Element-wise inverse tangent.
arctan2                             numpy           counted_binary               34.6532  Element-wise arctan(y/x) considering quadrant.
arctanh                             numpy           counted_unary                46.4110  Element-wise inverse hyperbolic tangent.
argmax                              numpy           counted_reduction             0.3837  Index of maximum value.
argmin                              numpy           counted_reduction             0.3837  Index of minimum value.
argpartition                        numpy           counted_custom               13.8459  Indirect partition; cost = n per slice.
argsort                             numpy           counted_custom               80.4905  Indirect sort; cost = n*ceil(log2(n)) per slice.
argwhere                            numpy           free                               —  Find indices of non-zero elements.
around                              numpy           counted_unary                      —  Alias for round.
array                               numpy           free                               —  Create array from data.
array2string                        numpy           blacklisted                        —  Return string representation of array. Not support...
array_equal                         numpy           counted_custom                     —  Element-wise equality; cost = numel(a).
array_equiv                         numpy           counted_custom                     —  Element-wise equivalence; cost = numel(a).
array_repr                          numpy           blacklisted                        —  Return string representation of array. Not support...
array_split                         numpy           free                               —  Split array into sub-arrays (possibly unequal).
array_str                           numpy           blacklisted                        —  Return string representation of data in array. Not...
asarray                             numpy           free                               —  Convert input to array.
asarray_chkfinite                   numpy           free                               —  Convert to array, raising if NaN or inf.
asin                                numpy           counted_unary                      —  Alias for arcsin (NumPy 2.x).
asinh                               numpy           counted_unary                      —  Alias for arcsinh (NumPy 2.x).
asmatrix                            numpy           blacklisted                        —  Interpret input as matrix (deprecated). Not suppor...
astype                              numpy           free                               —  Cast array to specified type.
atan                                numpy           counted_unary                      —  Alias for arctan (NumPy 2.x).
atan2                               numpy           counted_binary                     —  Alias for arctan2 (NumPy 2.x).
atanh                               numpy           counted_unary                      —  Alias for arctanh (NumPy 2.x).
atleast_1d                          numpy           free                               —  View inputs as arrays with at least one dimension.
atleast_2d                          numpy           free                               —  View inputs as arrays with at least two dimensions...
atleast_3d                          numpy           free                               —  View inputs as arrays with at least three dimensio...
average                             numpy           counted_reduction             1.0230  Weighted average of array elements.
bartlett                            mechestim._window counted_custom                     —  Bartlett window. Cost: n (one linear eval per samp...
base_repr                           numpy           free                               —  Return string representation of number in given ba...
binary_repr                         numpy           free                               —  Return binary string representation of the input n...
bincount                            numpy           counted_custom                     —  Integer counting; cost = numel(x).
bitwise_and                         numpy           counted_binary                     —  Element-wise bitwise AND.
bitwise_count                       numpy           counted_unary                      —  Count set bits element-wise (popcount).
bitwise_invert                      numpy           counted_unary                      —  Element-wise bitwise invert (alias for bitwise_not...
bitwise_left_shift                  numpy           counted_binary                     —  Element-wise left bit shift.
bitwise_not                         numpy           counted_unary                      —  Element-wise bitwise NOT.
bitwise_or                          numpy           counted_binary                     —  Element-wise bitwise OR.
bitwise_right_shift                 numpy           counted_binary                     —  Element-wise right bit shift.
bitwise_xor                         numpy           counted_binary                     —  Element-wise bitwise XOR.
blackman                            mechestim._window counted_custom                     —  Blackman window. Cost: 3*n (three cosine terms per...
block                               numpy           free                               —  Assemble ndarray from nested list of blocks.
bmat                                numpy           free                               —  Build matrix from nested list of matrices.
broadcast_arrays                    numpy           free                               —  Broadcast arrays against each other.
broadcast_shapes                    numpy           free                               —  Compute broadcast shape from input shapes.
broadcast_to                        numpy           free                               —  Broadcast array to new shape.
busday_count                        numpy           blacklisted                        —  Count valid days between begindate and enddate. No...
busday_offset                       numpy           blacklisted                        —  Apply offset to dates subject to valid day rules. ...
can_cast                            numpy           free                               —  Returns True if cast is safe.
cbrt                                numpy           counted_unary                24.6793  Element-wise cube root.
ceil                                numpy           counted_unary                 0.3837  Element-wise ceiling.
choose                              numpy           free                               —  Construct array from index array and choices.
clip                                numpy           counted_custom                     —  Clip array to [a_min, a_max] element-wise.
column_stack                        numpy           free                               —  Stack 1-D arrays as columns into 2-D array.
common_type                         numpy           free                               —  Return scalar type common to all input arrays.
compress                            numpy           free                               —  Return selected slices along axis.
concat                              numpy           free                               —  Join arrays along axis (NumPy 2.x array API alias ...
concatenate                         numpy           free                               —  Join arrays along axis.
conj                                numpy           counted_unary                      —  Complex conjugate element-wise.
conjugate                           numpy           counted_unary                      —  Complex conjugate element-wise.
convolve                            numpy           counted_custom                     —  1-D discrete convolution.
copy                                numpy           free                               —  Return array copy.
copysign                            numpy           counted_binary                0.7673  Copy sign of x2 to magnitude of x1 element-wise.
copyto                              numpy           free                               —  Copy values from src to dst array.
corrcoef                            numpy           counted_custom                     —  Pearson correlation coefficients.
correlate                           numpy           counted_custom                     —  1-D cross-correlation.
cos                                 numpy           counted_unary                25.8987  Element-wise cosine.
cosh                                numpy           counted_unary                18.2857  Element-wise hyperbolic cosine.
count_nonzero                       numpy           counted_reduction             0.3837  Count non-zero elements.
cov                                 numpy           counted_custom                     —  Covariance matrix.
cross                               numpy           counted_custom                     —  Cross product of two 3-D vectors.
cumprod                             numpy           counted_reduction             1.0230  Cumulative product of array elements.
cumsum                              numpy           counted_reduction             1.0230  Cumulative sum of array elements.
cumulative_prod                     numpy           counted_reduction                  —  Cumulative product (NumPy 2.x array API).
cumulative_sum                      numpy           counted_reduction                  —  Cumulative sum (NumPy 2.x array API).
datetime_as_string                  numpy           blacklisted                        —  Convert datetime array to string representation. N...
datetime_data                       numpy           blacklisted                        —  Get information about the step size of datetime dt...
deg2rad                             numpy           counted_unary                 1.0230  Alias for radians.
degrees                             numpy           counted_unary                 1.0230  Convert radians to degrees element-wise.
delete                              numpy           free                               —  Return array with sub-arrays deleted along axis.
diag                                numpy           free                               —  Extract diagonal or construct diagonal array.
diag_indices                        numpy           free                               —  Return indices to access main diagonal of n-D arra...
diag_indices_from                   numpy           free                               —  Return indices to access main diagonal of given ar...
diagflat                            numpy           free                               —  Create diagonal array from flattened input.
diagonal                            numpy           free                               —  Return specified diagonals.
diff                                numpy           counted_custom                     —  n-th discrete difference along axis.
digitize                            numpy           counted_custom                     —  Bin search; cost = n*ceil(log2(bins)).
divide                              numpy           counted_binary                1.4067  Element-wise true division.
divmod                              numpy           counted_binary                     —  Element-wise (quotient, remainder) tuple.
dot                                 numpy           counted_custom                     —  Dot product; cost = 2*M*N*K for matrix multiply.
dsplit                              numpy           free                               —  Split array into multiple sub-arrays depth-wise.
dstack                              numpy           free                               —  Stack arrays depth-wise (along third axis).
ediff1d                             numpy           counted_custom                     —  Differences between consecutive elements.
einsum                              numpy           counted_custom                     —  Generalized Einstein summation.
einsum_path                         numpy           counted_custom                     —  Optimize einsum contraction path (no numeric outpu...
empty                               numpy           free                               —  Uninitialized array allocation.
empty_like                          numpy           free                               —  Uninitialized array with same shape/type as input.
equal                               numpy           counted_binary                0.7673  Element-wise x1 == x2.
exp                                 numpy           counted_unary                14.4495  Element-wise e^x.
exp2                                numpy           counted_unary                 9.9740  Element-wise 2^x.
expand_dims                         numpy           free                               —  Insert new size-1 axis.
expm1                               numpy           counted_unary                26.5973  Element-wise e^x - 1 (accurate near zero).
extract                             numpy           free                               —  Return elements satisfying condition.
eye                                 numpy           free                               —  Create identity matrix.
fabs                                numpy           counted_unary                 0.3837  Element-wise absolute value (always float).
fft.fft                             numpy.fft       counted_custom                0.8351  1-D complex FFT. Cost: 5*n*ceil(log2(n)) (Cooley-T...
fft.fft2                            numpy.fft       counted_custom                0.7213  2-D complex FFT. Cost: 5*N*ceil(log2(N)), N=prod(s...
fft.fftfreq                         numpy.fft       free                               —  FFT sample frequencies. No arithmetic; returns ind...
fft.fftn                            numpy.fft       counted_custom                0.7213  N-D complex FFT. Cost: 5*N*ceil(log2(N)), N=prod(s...
fft.fftshift                        numpy.fft       free                               —  Shift zero-frequency component to center. No arith...
